,remitter_value,remitter_value,beneficiary_value,beneficiary_value
,mean,std,mean,std
month,,,,
1,3595.7689344073506,29236.988491006785,3595.768934481164,25897.879407661807
2,3322.9677708313166,27130.588642260216,3322.9677707724663,24082.74434942266
3,3725.1452443796993,30262.90683912577,3725.1452442905265,26976.078596595216
4,3454.3505481217167,27739.05507714333,3454.350548041436,24689.44077565888
5,3564.6865206825655,28840.350065443876,3564.686520680628,25666.235607242706
6,3440.726902146178,27854.58380198147,3440.7269020662243,24804.1296472792
7,3539.3115413835135,28784.395034534886,3539.3115414955882,25352.948232950104
8,3499.775576789146,28509.154672395704,3499.7755769576597,25085.601097950403
9,3462.9134833293538,28228.4491043918,3462.9134833650187,24968.742546933656
10,3835.054512289426,31209.62070935079,3835.054512269486,27617.824602495733
11,3383.3397322149845,27201.042267851157,3383.3397320305967,23423.292635189657
12,379.2767557650935,4065.1267426794166,379.27675574097424,3828.1465921206654
